date,zone,infectes
2024/01/01,A,12
01-02-2024,A,18
2024-01-03 ,A ,25
2024-01-04,A,30
2024-01-05,A,-42
2024-01-05,A,-42   
2024-01-06,A,55
2024-01-07,A,60
2024-01-08,A,72
2024-01-09,A,80
2024-01-10,A,95
2024-01-01,B,5
2024-01-02,B,6
2024-01-03,B,4
2024-01-04,B,7
2024-01-04,B,7 
2024-01-05,B,10
2024-01-06,B,12
2024-01-07,B,15
2024-01-08,B,14
2024-01-09,B,18
2024-01-10,B,20
2024-01-01,C,20
2024-01-02,C,22
2024-01-03,C,30
2024-01-03,C,30 
2024-01-04,C,35
2024-01-05,C,40
2024-01-06,C,50
2024-01-07,C,65
2024-01-08,C,70
2024-01-09,C,78
2024-01-10,C,90
2024-01-01,D,8
2024-01-02,D,10
2024-01-03,D,12
2024-01-04,D,15
2024-01-05,D,18
2024-01-06,D,22
2024-01-07,D,25
2024-01-08,D,30
2024-01-09,D,32
2024-01-10,D,40
2024-01-01,e,3
2024-01-02,E,4
2024-01-03,E,
2024-01-04,E,7
2024-01-05,E,9
2024-01-06,E,12
2024-01-07,E,14
2024-01-08,E,18
2024-01-09,E,20
2024-01-10,E,25
